date,country,event_name,user_id,event_id,platform,new_vs_returning
2023-01-01,UK,project created,pB2f8pOnV0udgHFE3tmuko1y,gPixyL0q10FR0wJMSOXl2Xp12pdB1UqeiC7,mob,returning
2023-01-01,USA,project exported,2yEbRqUvB9Qu306n9iqQ4JFY,R9e3j24V24BvqMmrZYYJhTO71PUXYTGSf4p,mob,returning
2023-01-01,Japan,editor touched,GZIsLKLzPV3yULhMiagbLlob,QVz0sQArVWkroYcv4p2U4sdQZMX2EQEYuMk,mob,returning
2023-01-01,USA,project downloaded,s51jWuy38yMsh0vuaZqAiMts,mghP8oIdOgajtHtF6MxZKXQbIod532Wah5z,web,returning
2023-01-01,Germany,editor touched,vrDIVm81JEE4aclTNcN3IOCG,ZDMXAJnlT2lvchXuFji4r41365MrioTRdg3,mob,returning
2023-01-01,Germany,project exported,QRZjHJyLZjCtVWK1IlmWXvHG,DdO2zzbyX9PYmaw7A7ul39orCdKiTasLcKL,mob,returning
2023-01-01,Australia,project exported,KFvRfQIonVogDHxR7Jjw3Kxr,A8yzW8wAnxPJRLSz9xcN0dkRPRLVLuMq6Ff,mob,returning
2023-01-01,USA,project exported,JotusGvWnt3hTPW0JS8LGQa5,RME9Ik3sxr06YpEQMDeg2OFolgedlf5nSHs,mob,returning
2023-01-01,USA,editor touched,xsMVbQ5jSj6wvBFztxHJjofg,jNI9mCFbvt0vbuK61AqYXOqzDwVXhIZyNy1,web,returning
2023-01-01,Japan,project exported,rIAxoPk7kXFPC8Q3hnDjWPlE,iUvKHYj5h358b7Ktuc41wHBoLedcjeDbutQ,web,returning
2023-01-01,Canada,project created,xFtdUxSB7hSFzW0IM2iNh5tK,W71REn5Ar6WllZ4UWgrlghzHt3zA4wdIN2T,web,returning
2023-01-01,UK,editor touched,1uNCcUGK87WDmmQquwHgpjEf,eowefm1nk3JQsZhBnw6RazomHl18ddsUu66,web,returning
2023-01-01,USA,project created,1Xrlfuu0seJFIEYnqCo7dOns,SJ3S63tdbiRg2opk3zQigfH6VGnO1Hy8Kgn,web,returning
2023-01-01,USA,project created,JwvS1Jbj7jWd8EuHUr6UddR4,F2bthGsxGrSsh7Vsbqyp5hHhCIk8UmDBZFk,web,returning
2023-01-01,UK,project exported,F8qJ3jHxAqyJJTR93YeTQGcs,f6sRc6Ly7ytiETWFDqFchQ73XGGf8a1ZyO7,web,returning
2023-01-01,France,project downloaded,rebTudLEOubffbFxZ7ui9xNf,zy1tgGZqxpXMPFdzxAwtqfS56QM8x9n9PsU,mob,returning
2023-01-01,USA,project created,eEFm897kSmz2RxtzyJatUqDR,pFMkHVMkvCpD8ybClNm4bh0ziJqeyNdruvt,mob,returning
2023-01-01,UK,project downloaded,4udDMOzIOiaxxpRw8b7vwO0q,GnmxSFiaJKvOn9CbSpv6wQH42fFtkXyzqDh,mob,returning
2023-01-01,UK,project created,LNENSurZrVEO7Ip7V16Gw6Bt,XOEtcr3FDJGZoLzgTyTR67FcNruNXpJouAX,mob,returning
2023-01-01,Japan,project exported,2yEbRqUvB9Qu306n9iqQ4JFY,zouWatUxKJE0B6x5ntxsyISyc13psSwtUwn,mob,returning
2023-01-01,Canada,project created,THYp3MZ9SEOFlpJMCPXsJFEM,rlvYwwzcoO9F7IkccSqOPCR1oF5CSlQg4ON,web,returning
2023-01-01,UK,project exported,hndHRgqWhYgiDPDrqo9AreKV,Is8ipwmi04BoccCIaYRWgUAHFWZ8OI4skzP,mob,returning
2023-01-01,Japan,project downloaded,OxgsySsSobNXxCXvRHd2AX7t,G4K3XrTL0UkNIltvzzDc4JPZHZD4fMixFiI,mob,returning
2023-01-01,USA,project downloaded,sQ29AYGBxdSmxme5l7pw5mW0,UcoR85jiloDpKFSYsq6IxObujIhZcPm4GAY,mob,returning
2023-01-01,UK,project exported,TzN2qDTxjn1D8sSFWexq5svn,rlvYwwzcoO9F7IkccSqOPCR1oF5CSlQg4ON,web,returning
2023-01-01,USA,project exported,l1J8PVdtmZRJsB0zi36tNpbW,EeLjlR0YoW2BsHDhvw3STdjH8Kh7VNQddre,mob,returning
2023-01-01,USA,project downloaded,xFtdUxSB7hSFzW0IM2iNh5tK,pFMkHVMkvCpD8ybClNm4bh0ziJqeyNdruvt,mob,returning
2023-01-01,Germany,project exported,JwvS1Jbj7jWd8EuHUr6UddR4,DZkng0BLACK6JiFlosMHeVw961zjKJfuuhU,web,returning
2023-01-01,France,project created,HCPimfMkwGtBZtZuubReSBXN,FZm7APNetg6As6ugV8T4MuAggMGPqq43CjZ,mob,returning
2023-01-01,USA,project exported,pB2f8pOnV0udgHFE3tmuko1y,ggcbmqdGGgrqPb9ZPbCg5NQgdkvJbrugteG,mob,returning
2023-01-01,UK,project exported,v2h3a4hzOiRsMLJxXI3TusO8,ggcbmqdGGgrqPb9ZPbCg5NQgdkvJbrugteG,mob,returning
2023-01-01,Canada,editor touched,huKfye9Gdib8I1v9oZu7WfZ2,JcXTHdpdmQ2qG8vSqu2CySVUsWyWz2NHFwI,web,returning
2023-01-01,Germany,project downloaded,OxgsySsSobNXxCXvRHd2AX7t,aagJrHQ8Edrmrk2e0xZmE8VTiKBSfK7gCR6,mob,returning
2023-01-01,Japan,project exported,npxic1uCK5eY2yVSG8Rwex94,eowefm1nk3JQsZhBnw6RazomHl18ddsUu66,web,returning
2023-01-01,France,project exported,2BSv6YSraDkaSw4PnE2yJdrQ,aagJrHQ8Edrmrk2e0xZmE8VTiKBSfK7gCR6,web,returning
2023-01-01,USA,project created,z0AsoNO9jj3JsRu2Crcy1I1O,RME9Ik3sxr06YpEQMDeg2OFolgedlf5nSHs,mob,returning
2023-01-01,UK,editor touched,qEgZcAbh2i05ZRy4G7aoP4QY,vSq5EDzGtcQqPgXq1QbiUNy5aVnY0l1F5QA,web,returning
2023-01-01,UK,project exported,hwbUTIOEQSmfCBtfoynlCKX0,GnmxSFiaJKvOn9CbSpv6wQH42fFtkXyzqDh,mob,returning
2023-01-01,USA,project downloaded,hndHRgqWhYgiDPDrqo9AreKV,Is8ipwmi04BoccCIaYRWgUAHFWZ8OI4skzP,web,returning
2023-01-01,USA,project exported,npxic1uCK5eY2yVSG8Rwex94,5dmTWH4CkU3Eia0U9gWUAQ7QdelGQclyzNy,mob,returning
2023-01-01,Germany,project exported,GZIsLKLzPV3yULhMiagbLlob,yrWnl66vjUu4X4uOJ0oL8C02iBgg10Nu6NJ,web,returning
2023-01-01,France,project exported,vrDIVm81JEE4aclTNcN3IOCG,Qw4rhscDqUBS6wGSwiTsIaBbdspr1P9R3tZ,mob,returning
2023-01-01,France,project exported,Kcitg7q2IWMENSJvmpoyO45S,G4K3XrTL0UkNIltvzzDc4JPZHZD4fMixFiI,mob,returning
2023-01-01,USA,editor touched,xFtdUxSB7hSFzW0IM2iNh5tK,vE5NhSihQdk1xaWSPSvNDK3nWr7hO9LuTWb,mob,returning
2023-01-01,Japan,project downloaded,2T3rq8t0FlQDn9FJbFnNXYTh,R9e3j24V24BvqMmrZYYJhTO71PUXYTGSf4p,web,returning
2023-01-01,Germany,project downloaded,ZyWUjHbWxFqBgBocMbRoIWwt,zouWatUxKJE0B6x5ntxsyISyc13psSwtUwn,web,returning
2023-01-01,USA,project exported,ToRlcAvyuTB54aBffQVUMX14,PmoRlntvhOxH4DyMOjpgtfZn1Lf7SKJF9F2,web,returning
2023-01-01,Australia,project created,HCPimfMkwGtBZtZuubReSBXN,gPixyL0q10FR0wJMSOXl2Xp12pdB1UqeiC7,web,returning
2023-01-01,France,project downloaded,jr4uyBc4YIImuTnQHZDQw0x3,Is8ipwmi04BoccCIaYRWgUAHFWZ8OI4skzP,mob,returning
2023-01-01,USA,project exported,rIAxoPk7kXFPC8Q3hnDjWPlE,q5WJLq1VKuFGndIGvdgIEadlomK7tcFZtHE,mob,returning
