date,week,quarter,year
2023-01-01,52,1,2023
2023-01-02,1,1,2023
2023-01-03,1,1,2023
2023-01-04,1,1,2023
2023-01-05,1,1,2023
2023-01-06,1,1,2023
2023-01-07,1,1,2023
2023-01-08,1,1,2023
2023-01-09,2,1,2023
2023-01-10,2,1,2023
2023-01-11,2,1,2023
2023-01-12,2,1,2023
2023-01-13,2,1,2023
2023-01-14,2,1,2023
2023-01-15,2,1,2023
2023-01-16,3,1,2023
2023-01-17,3,1,2023
2023-01-18,3,1,2023
2023-01-19,3,1,2023
2023-01-20,3,1,2023
2023-01-21,3,1,2023
2023-01-22,3,1,2023
2023-01-23,4,1,2023
2023-01-24,4,1,2023
2023-01-25,4,1,2023
2023-01-26,4,1,2023
2023-01-27,4,1,2023
2023-01-28,4,1,2023
2023-01-29,4,1,2023
2023-01-30,5,1,2023
2023-01-31,5,1,2023
2023-02-01,5,1,2023
2023-02-02,5,1,2023
2023-02-03,5,1,2023
2023-02-04,5,1,2023
2023-02-05,5,1,2023
2023-02-06,6,1,2023
2023-02-07,6,1,2023
2023-02-08,6,1,2023
2023-02-09,6,1,2023
2023-02-10,6,1,2023
2023-02-11,6,1,2023
2023-02-12,6,1,2023
2023-02-13,7,1,2023
2023-02-14,7,1,2023
2023-02-15,7,1,2023
2023-02-16,7,1,2023
2023-02-17,7,1,2023
2023-02-18,7,1,2023
2023-02-19,7,1,2023
2023-02-20,8,1,2023
2023-02-21,8,1,2023
2023-02-22,8,1,2023
2023-02-23,8,1,2023
2023-02-24,8,1,2023
2023-02-25,8,1,2023
2023-02-26,8,1,2023
2023-02-27,9,1,2023
2023-02-28,9,1,2023
2023-03-01,9,1,2023
2023-03-02,9,1,2023
2023-03-03,9,1,2023
2023-03-04,9,1,2023
2023-03-05,9,1,2023
2023-03-06,10,1,2023
2023-03-07,10,1,2023
2023-03-08,10,1,2023
2023-03-09,10,1,2023
2023-03-10,10,1,2023
2023-03-11,10,1,2023
2023-03-12,10,1,2023
2023-03-13,11,1,2023
2023-03-14,11,1,2023
2023-03-15,11,1,2023
2023-03-16,11,1,2023
2023-03-17,11,1,2023
2023-03-18,11,1,2023
2023-03-19,11,1,2023
2023-03-20,12,1,2023
2023-03-21,12,1,2023
2023-03-22,12,1,2023
2023-03-23,12,1,2023
2023-03-24,12,1,2023
2023-03-25,12,1,2023
2023-03-26,12,1,2023
2023-03-27,13,1,2023
2023-03-28,13,1,2023
2023-03-29,13,1,2023
2023-03-30,13,1,2023
2023-03-31,13,1,2023
2023-04-01,13,2,2023
2023-04-02,13,2,2023
2023-04-03,14,2,2023
2023-04-04,14,2,2023
2023-04-05,14,2,2023
2023-04-06,14,2,2023
2023-04-07,14,2,2023
2023-04-08,14,2,2023
2023-04-09,14,2,2023
2023-04-10,15,2,2023
2023-04-11,15,2,2023
2023-04-12,15,2,2023
2023-04-13,15,2,2023
2023-04-14,15,2,2023
2023-04-15,15,2,2023
2023-04-16,15,2,2023
2023-04-17,16,2,2023
2023-04-18,16,2,2023
2023-04-19,16,2,2023
2023-04-20,16,2,2023
2023-04-21,16,2,2023
2023-04-22,16,2,2023
2023-04-23,16,2,2023
2023-04-24,17,2,2023
2023-04-25,17,2,2023
2023-04-26,17,2,2023
2023-04-27,17,2,2023
2023-04-28,17,2,2023
2023-04-29,17,2,2023
2023-04-30,17,2,2023
2023-05-01,18,2,2023
2023-05-02,18,2,2023
2023-05-03,18,2,2023
2023-05-04,18,2,2023
2023-05-05,18,2,2023
2023-05-06,18,2,2023
2023-05-07,18,2,2023
2023-05-08,19,2,2023
2023-05-09,19,2,2023
2023-05-10,19,2,2023
2023-05-11,19,2,2023
2023-05-12,19,2,2023
2023-05-13,19,2,2023
2023-05-14,19,2,2023
2023-05-15,20,2,2023
2023-05-16,20,2,2023
2023-05-17,20,2,2023
2023-05-18,20,2,2023
2023-05-19,20,2,2023
2023-05-20,20,2,2023
2023-05-21,20,2,2023
2023-05-22,21,2,2023
2023-05-23,21,2,2023
2023-05-24,21,2,2023
2023-05-25,21,2,2023
2023-05-26,21,2,2023
2023-05-27,21,2,2023
2023-05-28,21,2,2023
2023-05-29,22,2,2023
2023-05-30,22,2,2023
2023-05-31,22,2,2023
2023-06-01,22,2,2023
2023-06-02,22,2,2023
2023-06-03,22,2,2023
2023-06-04,22,2,2023
2023-06-05,23,2,2023
2023-06-06,23,2,2023
2023-06-07,23,2,2023
2023-06-08,23,2,2023
2023-06-09,23,2,2023
2023-06-10,23,2,2023
2023-06-11,23,2,2023
2023-06-12,24,2,2023
2023-06-13,24,2,2023
2023-06-14,24,2,2023
2023-06-15,24,2,2023
2023-06-16,24,2,2023
2023-06-17,24,2,2023
2023-06-18,24,2,2023
2023-06-19,25,2,2023
2023-06-20,25,2,2023
2023-06-21,25,2,2023
2023-06-22,25,2,2023
2023-06-23,25,2,2023
2023-06-24,25,2,2023
2023-06-25,25,2,2023
2023-06-26,26,2,2023
2023-06-27,26,2,2023
2023-06-28,26,2,2023
2023-06-29,26,2,2023
